i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
0	1407.266	1407.196	39.7	0.297	0.068	135.665	84.033	1143.28	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	142.126	31.202	20.594	2.835	2.56	-2.534	2.317	103.922	38.204	0	0	0	0	0	0
1	1403.342	1403.268	28.642	2.699	-1.985	66.818	92.793	1299.762	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	115.17	52.6	28.398	0.681	1.728	1.552	-1.191	85.745	29.425	0	0	0	0	0	0
2	1400.216	1400.139	66.365	1.035	-0.174	77.19	97.115	1248.797	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	107.788	56.406	29.522	2.287	1.253	2.51	-2.308	76.222	31.565	0	0	0	0	0	0
3	1290.693	1286.407	47.272	2.452	1.775	74.272	117.737	1145.82	1.0	7.348	13.0	-	-	-	-	5.5	-	-	-	-	0.846	-	-	-	-	2.103	-	-	-	-	7.348	-	-	-	-	-1.0	-	-	-	-	2.0	112.029	74.527	21.94	1.156	0.873	-1.21	2.216	81.837	30.193	0	0	0	0	0	0
4	1325.482	1323.534	207.63	0.515	0.054	421.492	90.544	751.98	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	432.528	183.922	23.911	2.504	2.942	-3.072	3.073	311.67	120.858	0	0	0	0	0	0
5	1400.254	1400.168	304.265	1.84	0.036	315.597	83.814	913.556	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	322.544	241.95	62.792	1.398	0.986	-3.134	-2.996	246.502	76.042	0	0	0	0	0	0
6	1301.206	1297.605	169.889	2.468	0.524	272.345	94.595	929.878	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	290.759	167.9	20.909	0.728	0.703	-2.741	-1.204	257.052	33.707	0	0	0	0	0	0
7	1379.945	1379.735	46.568	0.439	-1.861	109.565	90.869	1001.642	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	122.214	30.519	21.527	2.82	1.905	0.898	1.839	97.809	24.405	0	0	0	0	0	0
8	1294.588	1294.224	22.305	0.713	-2.252	34.119	90.405	1193.274	1.0	5.6	11.0	-	-	-	-	5.439	-	-	-	-	1.332	-	-	-	-	0.217	-	-	-	-	5.6	-	-	-	-	-1.0	-	-	-	-	2.0	84.781	36.214	22.266	1.291	2.591	0.268	2.787	40.835	43.946	0	0	0	0	0	0
9	899.164	750.73	17.653	1.707	0.736	17.819	91.73	631.889	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	57.504	31.771	23.531	1.516	1.542	3.06	-0.66	33.321	24.184	0	0	0	0	0	0
10	1226.573	1215.82	19.801	2.089	0.481	22.793	17.0	256.33	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	42.103	11.898	8.576	0.5	2.456	-2.877	-2.356	27.153	14.95	0	0	0	0	0	0
11	1364.718	1364.306	91.099	2.194	-1.862	112.172	89.263	1140.292	1.0	31.733	-11.0	-	-	-	-	19.62	-	-	-	-	0.667	-	-	-	-	1.699	-	-	-	-	31.733	-	-	-	-	1.0	-	-	-	-	2.0	119.067	53.257	40.014	1.197	0.732	1.093	1.53	58.403	60.664	0	0	0	0	0	0
12	1066.918	1055.484	22.913	2.673	0.713	50.767	110.558	635.807	1.0	11.021	-13.0	-	-	-	-	5.256	-	-	-	-	0.497	-	-	-	-	2.729	-	-	-	-	11.021	-	-	-	-	1.0	-	-	-	-	2.0	273.949	59.733	54.448	2.581	0.37	-1.283	2.252	113.814	160.135	0	0	0	0	0	0
13	1323.512	1321.552	89.169	0.308	1.957	293.766	118.141	825.021	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	313.948	82.163	33.647	2.569	2.924	-1.571	-0.013	154.236	159.712	0	0	0	0	0	0
14	1131.603	1120.463	55.138	1.559	-2.091	55.142	90.446	1003.965	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	89.819	71.532	16.394	1.538	1.752	1.052	-2.087	72.194	17.625	0	0	0	0	0	0
15	1404.816	1404.745	10.914	0.148	-2.7	73.787	91.899	1287.331	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	110.37	36.899	26.495	2.678	1.537	0.183	-3.064	83.377	26.993	0	0	0	0	0	0
16	1365.685	1365.261	11.975	0.193	-2.658	62.302	90.162	1249.598	1.0	11.045	13.0	-	-	-	-	8.951	-	-	-	-	2.197	-	-	-	-	0.582	-	-	-	-	11.045	-	-	-	-	-1.0	-	-	-	-	2.0	86.842	31.828	29.37	2.338	2.256	0.865	-2.21	46.791	40.051	0	0	0	0	0	0
17	1150.25	1146.933	139.481	1.681	2.695	140.325	95.227	910.431	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	150.156	111.454	28.493	1.615	0.951	-0.488	-0.285	111.767	38.389	0	0	0	0	0	0
18	962.68	894.292	10.434	0.043	2.085	243.085	90.343	681.068	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	257.419	37.629	31.985	2.833	2.891	-0.179	-3.067	128.144	129.275	0	0	0	0	0	0
19	1393.349	1393.294	45.561	1.812	2.753	46.92	21.317	1333.035	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	57.312	34.672	11.285	1.671	0.655	-0.464	-0.158	36.963	20.349	0	0	0	0	0	0
20	1252.924	1244.339	49.225	1.133	0.852	54.356	125.918	1103.107	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	107.943	76.561	27.514	1.815	1.716	-2.341	0.71	79.458	28.486	0	0	0	0	0	0
21	1374.789	1374.598	99.927	2.205	0.576	124.076	93.017	942.604	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	127.352	75.422	24.77	0.849	1.288	-2.607	-2.438	101.123	26.228	0	0	0	0	0	0
22	1011.153	933.163	8.482	0.056	1.096	151.798	91.05	92.88	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	164.948	29.782	22.396	2.732	2.878	-1.607	1.696	76.526	88.422	0	0	0	0	0	0
23	1183.519	1165.16	251.52	1.831	2.447	260.254	91.636	711.499	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	438.702	182.18	69.342	2.194	0.337	-0.697	-0.689	225.656	213.046	0	0	0	0	0	0
24	1199.851	1185.467	193.391	1.909	1.16	204.983	91.555	509.786	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	212.13	146.255	47.265	1.365	0.901	-2.002	-1.917	150.751	61.379	0	0	0	0	0	0
25	1204.83	1202.922	265.123	1.152	1.697	290.259	89.746	818.856	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	303.332	266.983	9.083	1.958	2.366	-1.478	0.315	289.434	13.898	0	0	0	0	0	0
26	1279.43	1279.268	27.956	0.169	1.698	166.223	92.545	809.98	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	172.17	24.309	18.176	2.858	2.919	-2.141	-0.411	87.905	84.265	0	0	0	0	0	0
27	1347.627	1346.518	129.145	2.276	-1.652	169.596	82.981	1071.914	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	179.302	103.343	28.766	1.041	0.528	1.6	1.084	120.282	59.02	0	0	0	0	0	0
28	928.622	919.845	142.853	1.859	2.276	148.994	91.641	732.669	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	178.951	134.944	34.911	1.238	1.693	-0.62	-2.087	142.901	36.05	0	0	0	0	0	0
29	377.021	348.536	28.95	0.181	1.676	160.694	96.628	90.65	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	176.672	51.386	22.441	2.647	2.798	-1.478	1.647	109.219	67.453	0	0	0	0	0	0
30	1362.203	1361.681	121.575	1.407	-1.87	123.229	94.283	1000.711	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	132.702	77.509	44.406	1.482	2.118	1.215	1.37	79.147	53.554	0	0	0	0	0	0
31	1364.619	1364.357	66.207	1.045	2.057	76.535	126.002	1208.729	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	140.683	61.744	41.028	2.381	0.998	-1.734	0.058	90.659	50.024	0	0	0	0	0	0
32	1336.566	1335.415	176.34	2.575	1.057	328.426	92.294	476.8	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	335.295	140.287	41.724	0.558	0.672	-1.951	-2.549	265.706	69.588	0	0	0	0	0	0
33	1392.079	1392.008	197.79	0.679	2.718	314.778	125.999	873.873	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	330.515	115.763	84.53	2.155	2.676	-0.288	-0.609	140.251	190.264	0	0	0	0	0	0
