i	beam_e	beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	
0	1395.524	1395.455	108.025	2.373	-2.285	554.882	270.962	257.202	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	317.239	62.915	41.083	0.332	2.789	0.437	0.92	195.121	122.118	0	0	
1	1309.297	1306.508	345.698	2.499	1.784	729.56	63.579	184.742	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	444.841	176.305	159.744	0.869	0.847	-0.94	-1.415	231.164	213.677	0	0	
2	1395.349	1395.293	34.952	2.978	0.22	888.336	80.786	585.379	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	735.159	248.696	193.319	0.541	2.207	-2.787	0.48	494.038	241.12	0	0	
3	1190.656	1173.952	138.86	1.086	1.283	865.186	331.699	232.855	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	721.883	209.403	70.727	0.575	2.923	-1.725	2.236	395.48	326.403	0	0	
4	1345.881	1344.471	187.769	2.303	1.78	535.009	59.674	266.743	1.0	17.151	13.0	-	-	-	-	14.23	-	-	-	-	2.163	-	-	-	-	-2.503	-	-	-	-	17.151	-	-	-	-	-1.0	-	-	-	-	2.0	391.36	224.641	103.742	1.295	0.823	-0.812	-3.05	248.243	143.117	0	0	
5	1032.401	982.293	362.254	0.705	0.335	778.494	84.333	78.532	1.0	5.868	11.0	-	-	-	-	4.18	-	-	-	-	2.349	-	-	-	-	-2.544	-	-	-	-	5.868	-	-	-	-	-1.0	-	-	-	-	2.0	614.938	220.009	157.198	2.627	1.652	-2.712	-2.978	454.44	160.497	0	0	
6	1360.65	1360.088	626.733	1.383	1.985	801.413	204.34	169.847	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	690.872	556.156	96.903	1.895	1.407	-1.3	-0.496	592.253	98.619	0	0	
7	1396.335	1396.222	270.537	2.692	-2.968	811.891	153.303	184.545	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	654.462	168.407	127.692	0.492	0.446	0.333	-0.107	357.786	296.676	0	0	
8	1395.501	1395.43	80.51	0.303	0.969	466.935	91.609	60.5	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	261.8	65.777	45.42	1.678	2.9	-1.681	2.723	67.179	194.621	0	0	
9	1401.864	1401.793	41.671	0.204	1.289	1025.742	647.398	304.563	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	585.866	106.965	88.046	0.353	2.816	2.784	-0.696	310.519	275.348	0	0	
10	1384.333	1384.156	245.495	1.048	-1.824	622.097	15.352	477.391	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	421.935	253.226	34.272	2.409	0.949	1.531	0.058	379.555	42.38	0	0	
11	1337.63	1336.241	8.58	3.121	-1.55	594.213	184.024	147.114	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	352.349	45.919	40.749	0.149	1.453	1.306	-0.406	311.139	41.21	0	0	
12	1015.702	1012.505	351.939	0.957	0.295	708.065	169.362	41.998	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	396.335	296.689	54.046	1.673	2.462	-2.971	-2.636	309.712	86.623	0	0	
13	1387.699	1387.604	217.186	1.574	-0.449	374.113	126.217	34.33	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	282.582	160.028	70.752	1.964	0.757	2.76	2.735	176.327	106.256	0	0	
14	1129.016	1119.309	99.229	0.67	-2.188	1031.686	608.495	310.059	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	627.938	119.902	81.962	2.725	0.252	0.988	-1.67	298.241	329.697	0	0	
15	1293.471	1293.22	208.499	2.392	-0.839	532.216	85.596	91.382	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	313.064	145.896	68.754	0.66	1.475	2.486	2.386	242.623	70.442	0	0	
16	1120.704	1088.98	71.703	0.23	-0.447	483.595	56.749	171.022	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	332.154	137.756	61.579	2.565	2.085	2.706	0.269	260.577	71.577	0	0	
17	1392.238	1392.168	24.238	0.108	0.993	676.166	187.375	201.349	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	412.928	55.564	46.736	2.937	2.789	-1.129	-3.112	274.756	138.172	0	0	
18	1319.401	1318.69	125.085	0.528	-2.903	418.289	73.605	117.574	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	320.153	123.622	31.218	2.199	2.943	0.227	2.029	158.085	162.068	0	0	
19	1290.116	1285.311	162.341	2.348	1.702	572.957	125.287	289.982	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	485.636	185.752	118.036	2.088	0.483	-2.064	0.019	228.225	257.411	0	0	
20	1247.119	1244.104	109.765	0.281	-3.019	702.986	62.604	354.968	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	563.498	124.475	83.356	1.393	2.945	-0.119	1.925	130.624	432.874	0	0	
21	1377.384	1377.048	81.405	0.302	-3.002	493.502	48.657	255.126	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	382.422	122.518	112.268	2.656	1.869	1.036	-1.206	264.619	117.802	0	0	
22	954.052	846.647	259.312	1.659	0.256	529.613	36.542	401.952	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	341.363	256.174	37.866	1.987	0.701	-3.074	-1.377	282.128	59.235	0	0	
23	1075.062	1031.024	78.431	1.185	2.971	314.371	78.421	75.571	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	155.114	73.588	53.34	2.269	1.292	-0.406	0.239	97.208	57.906	0	0	
24	1400.793	1400.718	245.17	2.799	-1.562	930.431	420.27	37.884	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	810.594	270.778	80.626	0.383	1.883	1.849	-0.702	724.658	85.937	0	0	
25	1339.414	1338.159	249.16	2.335	1.169	711.442	287.486	122.507	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	591.18	370.477	88.993	0.894	2.078	-1.932	1.037	486.524	104.656	0	0	
26	930.142	916.423	192.577	0.835	-0.89	472.505	82.6	113.552	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	320.926	133.855	89.478	1.708	2.606	2.562	1.491	136.368	184.558	0	0	
27	1242.694	1237.038	209.426	2.236	1.305	580.053	286.786	130.382	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	443.036	260.165	56.484	0.781	2.014	-1.958	0.759	380.253	62.783	0	0	
28	1402.748	1402.676	539.709	1.063	-1.923	899.812	263.286	265.445	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	695.198	308.016	259.316	2.098	2.265	1.064	1.149	357.328	337.87	0	0	
29	1364.659	1364.163	72.301	2.719	-0.351	369.868	79.272	50.789	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	250.647	58.931	58.056	0.345	2.11	-2.441	2.535	182.466	68.18	0	0	
